cm_id,claim_id,start_date,end_date,pl,productmodel,partno,totalamount,program_number,program_name,descr,actual_activity,reseller,claim_status,business_type,activity_subtype,activity_subtype_id
60691,23761,2022-10-30T00:00:00.000+0000,2022-11-05T00:00:00.000+0000,MS- (544H8A),HyperXCloudXFlightHX-HSCFX-BK/WW,4P5J6AA,400,HAOR-TG-X13023,GiftCardsOctober-December2022,undefined,MIR,Target,Approved,HyperX,UNKNOWN,UNKNOWN
55787,22182,2022-10-01T00:00:00.000+0000,2022-10-31T00:00:00.000+0000,GP- (7CD00AA),,,27.31,12719,Walmart Toner Price Protection,undefined,MIR,Wal-Mart,Approved,Toner,UNKNOWN,UNKNOWN
44703,17224,2022-01-01T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,8A- (7CC63AA),,,25666.66,12012,ASP: OPS EGG Diamond Package ,MARKET DEVELOPMENT FUNDS,Ad Funding,Amazon,Approved,OPS HW A4 & Scanners,Holiday,Holiday
49548,19336,2021-10-30T00:00:00.000+0000,2022-01-01T00:00:00.000+0000,KV- (4XM40A),11-AK0010NR,16V14UA,2280,AAD-NA-N17721,Retailers Via NAE BF/CM Week 2021 Program,undefined,Ad Funding,New Age,Approved,PC,Program,Other
47722,19125,2022-05-18T00:00:00.000+0000,2022-06-12T00:00:00.000+0000,KV- (4XM40A),14-DQ2053CL,50V33UA,120450,AEL-2X-N07822,ROC $2.6M Notebook EOL FQ2'22,undefined,End Of Life,Costco,Reversed,PC,UNKNOWN,UNKNOWN
51183,20542,2022-03-20T00:00:00.000+0000,2022-03-26T00:00:00.000+0000,MS- (544H8A),HyperXCloudStingerRedHX-HSCS-BK,4P5L7AA,28,HAMC-DH-X02822,Staples Promotion 3/20/2022 - 3/26/2022,undefined,Meet Competition,D&H,Approved,HyperX,UNKNOWN,UNKNOWN
47341,18978,2022-05-01T00:00:00.000+0000,2022-05-22T00:00:00.000+0000,9G- (4XM15A),HPOMENMindframe2BLKHeadset,6MF35AA,9740,AAD-BB-X01022,BBY Gaming Accessories Ad Support Program,undefined,Ad Funding,Best Buy,Approved,Peripherals,,
41877,15705,2021-07-15T00:00:00.000+0000,2021-07-31T00:00:00.000+0000,2Q- (7CC44AA),LJ Pro MFP M227fdn,G3Q79A,1388.4,11671,CP: Price Increase True-Up,SPECIAL NEGOTIATED DISCOUNT,Stock return avoidance,Amazon,Cancelled,HPS HW,UNKNOWN,UNKNOWN
37570,14561,2020-10-04T00:00:00.000+0000,2020-10-31T00:00:00.000+0000,7T- (7CC62AA),HP OfficeJet Pro 9015 AiO Printer,1KR42A,9900,10931,Dot Com Growth Plan - Sep/Oct,SPECIAL NEGOTIATED DISCOUNT,IR program,Best Buy,Pending,HPS HW,,
46892,18745,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,1N- (7CC38AA),,,258333.33,12128,Q2 22 Targeted Retail Mktg - Ink ,undefined,Ad Funding,Amazon,Approved,Ink and Media,Program,Advertising
22626,7625,2018-11-18T00:00:00.000+0000,2018-11-24T00:00:00.000+0000,5M- (7CC52AA),ENVY 7855 Photo,K7R96A,495,6620,Bundle Program - FY'19 - H2,SPECIAL NEGOTIATED DISCOUNT,IR program,Best Buy,Approved,HPS HW,Program,Other
54955,21885,2022-10-31T00:00:00.000+0000,2022-11-06T00:00:00.000+0000,1M- (4XM00A),24-cb1224,577B8AA,301801.5,AIS-BB-D10922,Best Buy Black Friday Desktop IRs 2022,undefined,Instant Savings,Best Buy,Approved,PC,Holiday,Black_Friday
57312,22619,2022-10-21T00:00:00.000+0000,2022-11-20T00:00:00.000+0000,KV- (4XM40A),15-er1071cl,692B1UA,8365,AEL-2X-N10022,FQ3'22 Notebook EOL Program,undefined,End Of Life,Sams Club,Approved,PC,Program,Other
24567,8115,2020-02-09T00:00:00.000+0000,2020-02-15T00:00:00.000+0000,7T- (7CC62AA),HP OfficeJet Pro 8025 All-in-One Printer,1KR57A,20000,9008,Ad Funds - FY'20 - H2 HPS Laser,MARKET DEVELOPMENT FUNDS,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
51498,20712,2022-05-01T00:00:00.000+0000,2022-07-31T00:00:00.000+0000,5T- (7CC54AA),,,137500,12370,Staples 2022 Partnership Agreement,undefined,Stretch Goal,Staples,Approved,Toner,UNKNOWN,UNKNOWN
26621,8613,2020-05-01T00:00:00.000+0000,2020-05-09T00:00:00.000+0000,7T- (7CC62AA),HP OfficeJet Pro 8035 All-in-One Printer,3UC66A,24.75,,,,,,,,UNKNOWN,UNKNOWN
51501,20712,2022-05-01T00:00:00.000+0000,2022-07-31T00:00:00.000+0000,GK- (7CC97AA),,,25000,12370,Staples 2022 Partnership Agreement,undefined,Stretch Goal,Staples,Approved,Toner,UNKNOWN,UNKNOWN
49022,19604,2022-04-27T00:00:00.000+0000,2022-04-27T00:00:00.000+0000,MS- (544H8A),HyperXQuadCastSBlk-GryHMIQ1S-XX-RG/G,4P5P7AA,293.4, HAIS-AM-X00222,Amazon Promo 4-27 to 4-27-22		,undefined,Instant Savings,Amazon,Reversed,HyperX,UNKNOWN,UNKNOWN
47144,18865,2022-05-08T00:00:00.000+0000,2022-05-28T00:00:00.000+0000,5M- (7CC52AA),,,60000,12397,Marketing - May Incremental,undefined,Ad Funding,Best Buy,Approved,HPS HW,Program,Advertising
51179,20539,2022-07-31T00:00:00.000+0000,2022-08-06T00:00:00.000+0000,KV- (4XM40A),,,15000,AAD-BB-M03622,VPA BBY FY'2023 Retail Training & Events,undefined,Ad Funding,Best Buy,Approved,PC,,
